# k [h/Mpc]  -T_d_cdm/k^2  -T_d_b/k^2  -T_d_g/k^2  -T_d_ur/k^2  -T_d_ncdm/k^2  -T_d_tot/k^2
9.434558380456051327e-05 1.550179995241866272e+05 1.550175854665077059e+05 2.066092486979621463e+05 2.066007341369699570e+05 0.000000000000000000e+00 1.562790167714337003e+05
1.187740529421174579e-04 1.893412201601648703e+05 1.893404187004918931e+05 2.522973938968455768e+05 2.522805944124507078e+05 0.000000000000000000e+00 1.908799143314249231e+05
1.495276735106174418e-04 2.109946908266699465e+05 2.109932754055642872e+05 2.810480420685915160e+05 2.810180265113149653e+05 0.000000000000000000e+00 2.127066510358194646e+05
1.882441879489778690e-04 2.246523286620199506e+05 2.246499402566735225e+05 2.990671054335206863e+05 2.990161076484717196e+05 0.000000000000000000e+00 2.264705453794751375e+05
2.369853918315255813e-04 2.332621198361539573e+05 2.332581893714152393e+05 3.102441409439028939e+05 3.101599096643210505e+05 0.000000000000000000e+00 2.351425232769635331e+05
2.983469320007054045e-04 2.386825141660826339e+05 2.386761398929729767e+05 3.169921524396025925e+05 3.168553739252045634e+05 0.000000000000000000e+00 2.405944688247939048e+05
3.755965342265144393e-04 2.420835153962548357e+05 2.420732682244028547e+05 3.207687322771406616e+05 3.205490272395069478e+05 0.000000000000000000e+00 2.440032239068151393e+05
4.728480215195767530e-04 2.441992602759288275e+05 2.441828760126647830e+05 3.223916468717399985e+05 3.220414317389699863e+05 0.000000000000000000e+00 2.461046686913730227e+05
5.952803902075904209e-04 2.454865056823898340e+05 2.454603983314945945e+05 3.222176869214989711e+05 3.216629425783203915e+05 0.000000000000000000e+00 2.473526480445702327e+05
7.494136103750832561e-04 2.462232850808494841e+05 2.461817714177478047e+05 3.202255130048228311e+05 3.193523776999871479e+05 0.000000000000000000e+00 2.480171553138950258e+05
9.434558380456054038e-04 2.465690853172472271e+05 2.465031712647511740e+05 3.160254600193845690e+05 3.146620164210922667e+05 0.000000000000000000e+00 2.482431624151075666e+05
1.187740529421174931e-03 2.465996765604561369e+05 2.464951272045654478e+05 3.088109463731790311e+05 3.067055628565473598e+05 0.000000000000000000e+00 2.480832664301740006e+05
1.495276735106174960e-03 2.463215448528685956e+05 2.461553358407933265e+05 2.972662419606295298e+05 2.940779795282016275e+05 0.000000000000000000e+00 2.475093882552854193e+05
1.882441879489779287e-03 2.456834160964755574e+05 2.454197772154070844e+05 2.794993127067256137e+05 2.747972727660845849e+05 0.000000000000000000e+00 2.464224032355690142e+05
2.369853918315256627e-03 2.445657972668947477e+05 2.441485794348164927e+05 2.530967142498028697e+05 2.464545414234875934e+05 0.000000000000000000e+00 2.446436752050550422e+05
2.983469320007055454e-03 2.427684445071328373e+05 2.421094494373570487e+05 2.156249274678782385e+05 2.069048211087476811e+05 0.000000000000000000e+00 2.419163755270213878e+05
3.755965342265146778e-03 2.399996625429650885e+05 2.389612894164110185e+05 1.661097129183959332e+05 1.560472229052980256e+05 0.000000000000000000e+00 2.379333567682222638e+05
4.728480215195770241e-03 2.358792249650734302e+05 2.342486472379046609e+05 1.080126695715096284e+05 9.897172700450601405e+04 0.000000000000000000e+00 2.324131464396594674e+05
5.952803902075907462e-03 2.299799220044554968e+05 2.274324342213416530e+05 5.277525662991543504e+04 4.856854061640218424e+04 0.000000000000000000e+00 2.252159767772364430e+05
7.494136103750837115e-03 2.219253699405473017e+05 2.179753806480462372e+05 1.820335921601023438e+04 2.057643524987365890e+04 0.000000000000000000e+00 2.163642664017083007e+05
9.434558380456058158e-03 2.115011018455955782e+05 2.054447128065500874e+05 1.188945544584784147e+04 1.500024204600045050e+04 0.000000000000000000e+00 2.057247927652956860e+05
1.187740529421175452e-02 1.986418242181920505e+05 1.895063917933279881e+05 1.222351824235958338e+04 1.008122050241275065e+04 0.000000000000000000e+00 1.926638157884255634e+05
1.495276735106127776e-02 1.832670528120923555e+05 1.698189270533727540e+05 3.617829023581676665e+03 4.304291394982097700e+03 0.000000000000000000e+00 1.768224277864675387e+05
1.882441878763735019e-02 1.652975871211761551e+05 1.462246469960199611e+05 3.669922419928289401e+03 3.056064654483786853e+03 0.000000000000000000e+00 1.584186372134492849e+05
2.369852735017288770e-02 1.449018952131203550e+05 1.193792014352805709e+05 1.156900679010083650e+03 1.757490505462813417e+03 0.000000000000000000e+00 1.374842792971076560e+05
2.983164563993602122e-02 1.228133490156821208e+05 9.167635746279882733e+04 9.449714549251697235e+02 8.873418584714175950e+02 0.000000000000000000e+00 1.150639441122372227e+05
3.738624455609877023e-02 1.011416717436410545e+05 6.837225101300337701e+04 4.749054610214166132e+02 4.686874406839196467e+02 0.000000000000000000e+00 9.366101470513104869e+04
4.487052884422904758e-02 8.529734990702256619e+04 5.622829800858585077e+04 2.887465488858983349e+02 2.667498638914611888e+02 0.000000000000000000e+00 7.876612848072129418e+04
5.025472207832190619e-02 7.677142542162026803e+04 5.233793541784687113e+04 1.758624010487063458e+02 1.756150949350691803e+02 0.000000000000000000e+00 7.115617084323463496e+04
5.449018964715970914e-02 7.135002704337031173e+04 5.087473310935896006e+04 1.401386311396253461e+02 1.399406605311975227e+02 0.000000000000000000e+00 6.647276459761762817e+04
5.817832404739220475e-02 6.731435857160620799e+04 5.006611016219979501e+04 1.168449699593987958e+02 1.166792492949298179e+02 0.000000000000000000e+00 6.302951588770505623e+04
6.156952112850939268e-02 6.401431627386708715e+04 4.931132975940294273e+04 9.982875180980413177e+01 9.968672987626109716e+01 0.000000000000000000e+00 6.019962493166891363e+04
