       1.051899717281e-05       2.389066270965e+05       2.389066187530e+05       3.185408313849e+05       3.185406732851e+05       0.000000000000e+00       2.411794489068e+05
       1.324263284744e-05       2.389065895145e+05       2.389065762909e+05       3.185399986460e+05       3.185397480750e+05       0.000000000000e+00       2.411793868003e+05 
       1.667148701071e-05       2.389065525175e+05       2.389065315595e+05       3.185387089358e+05       3.185383118096e+05       0.000000000000e+00       2.411793111497e+05 
       2.098815865017e-05       2.389064663436e+05       2.389064331276e+05       3.185366281756e+05       3.185359987775e+05       0.000000000000e+00       2.411791634519e+05 
       2.642252627147e-05       2.389063252124e+05       2.389062725665e+05       3.185333243495e+05       3.185323268271e+05       0.000000000000e+00       2.411789247690e+05 
       3.326398976696e-05       2.389060941954e+05       2.389060107606e+05       3.185280783983e+05       3.185264974683e+05       0.000000000000e+00       2.411785390758e+05 
       4.187688201528e-05       2.389057370982e+05       2.389056048653e+05       3.185197763241e+05       3.185172708063e+05       0.000000000000e+00       2.411779369238e+05 
       5.271987093574e-05       2.389051668227e+05       2.389049572455e+05       3.185066130809e+05       3.185026422673e+05       0.000000000000e+00       2.411769782337e+05 
       6.637038522752e-05       2.389042657462e+05       2.389039335888e+05       3.184857553405e+05       3.184794624821e+05       0.000000000000e+00       2.411754616178e+05 
       8.355536455349e-05       2.389028326093e+05       2.389023061768e+05       3.184526937301e+05       3.184427213728e+05       0.000000000000e+00       2.411730529453e+05 
       1.051899717281e-04       2.389005665936e+05       2.388997322596e+05       3.184003077251e+05       3.183845055181e+05       0.000000000000e+00       2.411692410528e+05 
       1.324263284744e-04       2.388969755687e+05       2.388956532641e+05       3.183172969772e+05       3.182922594964e+05       0.000000000000e+00       2.411632004644e+05 
       1.667148701071e-04       2.388912842986e+05       2.388891886197e+05       3.181857717339e+05       3.181461082980e+05       0.000000000000e+00       2.411536281070e+05 
       2.098815865017e-04       2.388822664442e+05       2.388789450801e+05       3.179774159443e+05       3.179145997669e+05       0.000000000000e+00       2.411384622006e+05 
       2.642252627147e-04       2.388679772413e+05       2.388627133985e+05       3.176474363803e+05       3.175479945718e+05       0.000000000000e+00       2.411144366396e+05 
       3.326398976696e-04       2.388453382518e+05       2.388369959250e+05       3.171250620492e+05       3.169677461934e+05       0.000000000000e+00       2.410763857555e+05 
       4.187688201528e-04       2.388094770973e+05       2.387962563607e+05       3.162986781840e+05       3.160500739781e+05       0.000000000000e+00       2.410161465598e+05 
       5.271987093574e-04       2.387526887781e+05       2.387317378347e+05       3.149927674173e+05       3.146005712449e+05       0.000000000000e+00       2.409208423572e+05 
       6.637038522752e-04       2.386628053191e+05       2.386296062389e+05       3.129326022327e+05       3.123155497830e+05       0.000000000000e+00       2.407702174129e+05 
       8.355536455349e-04       2.385206499758e+05       2.384680479397e+05       3.096913595716e+05       3.087247084291e+05       0.000000000000e+00       2.405325479017e+05 
       1.051899717281e-03       2.382961003204e+05       2.382127701628e+05       3.046138819764e+05       3.031099206986e+05       0.000000000000e+00       2.401584973424e+05 
       1.324263284744e-03       2.379420875777e+05       2.378101124496e+05       2.967142842284e+05       2.943998723750e+05       0.000000000000e+00       2.395721948092e+05 
       1.667148701071e-03       2.373825840040e+05       2.371730570601e+05       2.845529858052e+05       2.810620292245e+05       0.000000000000e+00       2.386559292945e+05 
       2.098815865017e-03       2.365083545986e+05       2.361765108804e+05       2.661643775818e+05       2.610411628809e+05       0.000000000000e+00       2.372440171315e+05 
       2.642252627147e-03       2.351520165402e+05       2.346273879314e+05       2.391306255189e+05       2.319521687856e+05       0.000000000000e+00       2.351013176896e+05 
       3.326398976696e-03       2.330712464646e+05       2.322434127361e+05       2.011617057034e+05       1.918664132841e+05       0.000000000000e+00       2.319252254128e+05 
       4.187688201528e-03       2.299347197690e+05       2.286319056821e+05       1.517068696593e+05       1.412433163445e+05       0.000000000000e+00       2.273806588428e+05 
       5.271987093574e-03       2.253292436729e+05       2.232870114218e+05       9.503258849496e+04       8.610677074300e+04       0.000000000000e+00       2.211944375574e+05 
       6.637038522752e-03       2.188142253316e+05       2.156317869815e+05       4.343301523031e+04       4.000292496336e+04       0.000000000000e+00       2.132831463937e+05 
       8.355536455349e-03       2.100366647520e+05       2.051214439742e+05       1.413797333600e+04       1.719222199305e+04       0.000000000000e+00       2.037312456620e+05 
       1.051899717281e-02       1.988416429234e+05       1.913490197352e+05       1.108482535532e+04       1.361843743492e+04       0.000000000000e+00       1.923686467808e+05 
       1.324263284744e-02       1.852248638912e+05       1.740216236490e+05       1.038643996665e+04       7.997226304914e+03       0.000000000000e+00       1.784968238047e+05 
       1.667148701068e-02       1.691549829745e+05       1.528812797534e+05       2.650672652963e+03       3.835102975917e+03       0.000000000000e+00       1.619327013177e+05 
       2.098815849633e-02       1.506538062845e+05       1.280445930788e+05       3.139939237476e+03       2.242348332846e+03       0.000000000000e+00       1.429820554520e+05 
       2.642240663083e-02       1.300796750997e+05       1.007919654396e+05       1.110607476438e+03       1.428133990917e+03       0.000000000000e+00       1.219319380481e+05 
       3.324713950916e-02       1.085151640390e+05       7.459710822585e+04       8.408193411948e+02       7.324957938720e+02       0.000000000000e+00       1.002634623280e+05 
       4.130729370809e-02       8.900390376401e+04       5.592250760678e+04       2.308761421960e+02       3.518954462088e+02       0.000000000000e+00       8.142209303555e+04 
       4.813877544137e-02       7.692450436142e+04       4.874500351316e+04       2.726477090135e+02       2.359896077547e+02       0.000000000000e+00       7.043503083271e+04 
