#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.476345671852e-01       1.091774837574e+04       7.698466118784e+03       1.146735936149e+00       1.144792754539e+00       0.000000000000e+00       1.011478505889e+04 
       2.559222967132e-01       1.046718268440e+04       7.570676776998e+03       1.033811598828e+00       1.032055264053e+00       0.000000000000e+00       9.726344629799e+03 
       2.644919475623e-01       1.001377586805e+04       7.324656626306e+03       9.276798494614e-01       9.261025061947e-01       0.000000000000e+00       9.317531122951e+03 
       2.733553138610e-01       9.545826517448e+03       6.927422626077e+03       8.266641006443e-01       8.252602077478e-01       0.000000000000e+00       8.873728592058e+03 
       2.825253625055e-01       9.072566312554e+03       6.450758506811e+03       7.328962598207e-01       7.316544858788e-01       0.000000000000e+00       8.413453326971e+03 
       2.920164409644e-01       8.619644106392e+03       6.019739809256e+03       6.498526136912e-01       6.487534436059e-01       0.000000000000e+00       7.976798864011e+03 
       3.018445217594e-01       8.207608890746e+03       5.719315221578e+03       5.790038601324e-01       5.780244429126e-01       0.000000000000e+00       7.593557808325e+03 
       3.120274922976e-01       7.834574917954e+03       5.532791767560e+03       5.184122518171e-01       5.175339284648e-01       0.000000000000e+00       7.259637982135e+03 
       3.225855014385e-01       7.483084628271e+03       5.368344354511e+03       4.645107136231e-01       4.637224555099e-01       0.000000000000e+00       6.946728416985e+03 
       3.335413778424e-01       7.132771805269e+03       5.139617211713e+03       4.144387130031e-01       4.137352592238e-01       0.000000000000e+00       6.624971348817e+03 
       3.449211401351e-01       6.779056813823e+03       4.841026398216e+03       3.677383850611e-01       3.671148963604e-01       0.000000000000e+00       6.289764537221e+03 
       3.567546258150e-01       6.434782845096e+03       4.542361913735e+03       3.256564916729e-01       3.251049959624e-01       0.000000000000e+00       5.962277091152e+03 
       3.690762754842e-01       6.113622019282e+03       4.308601525424e+03       2.890292419129e-01       2.885397733809e-01       0.000000000000e+00       5.663622304037e+03 
       3.819261227014e-01       5.816133737361e+03       4.133204912313e+03       2.571461231850e-01       2.567102320259e-01       0.000000000000e+00       5.393259879748e+03 
       3.953510595897e-01       5.528704743832e+03       3.954346387395e+03       2.283659071689e-01       2.279785755807e-01       0.000000000000e+00       5.130605838858e+03 
       4.094064775009e-01       5.243696378829e+03       3.739703583018e+03       2.018702801280e-01       2.015280301247e-01       0.000000000000e+00       4.864471757494e+03 
       4.241584257961e-01       4.965077408058e+03       3.519293733922e+03       1.778947311287e-01       1.775933172831e-01       0.000000000000e+00       4.602689209436e+03 
       4.396864988210e-01       4.700174133653e+03       3.332075808241e+03       1.567296848487e-01       1.564641045373e-01       0.000000000000e+00       4.357203858966e+03 
       4.560877662422e-01       4.448151699146e+03       3.167975797631e+03       1.379593713882e-01       1.377254847102e-01       0.000000000000e+00       4.125794388744e+03 
       4.734822309459e-01       4.201422823053e+03       2.993124191299e+03       1.209121546749e-01       1.207071751636e-01       0.000000000000e+00       3.897078290490e+03 
       4.920205785113e-01       3.958369323802e+03       2.811107906622e+03       1.054389729558e-01       1.052602840930e-01       0.000000000000e+00       3.670278075690e+03 
       5.118954604855e-01       3.723892345274e+03       2.646352674083e+03       9.165251609713e-02       9.149717430969e-02       0.000000000000e+00       3.453135267932e+03 
       5.333584009511e-01       3.495627550918e+03       2.488414832849e+03       7.927256096806e-02       7.913818026502e-02       0.000000000000e+00       3.242119763773e+03 
       5.567459793157e-01       3.269257590335e+03       2.324151083553e+03       6.802560545810e-02       6.791030832061e-02       0.000000000000e+00       3.031690220853e+03 
       5.825219636768e-01       3.046244580639e+03       2.166180104751e+03       5.790320865633e-02       5.780506364863e-02       0.000000000000e+00       2.824969978464e+03 
       6.113482231145e-01       2.824323670481e+03       2.009128842714e+03       4.874475696131e-02       4.866213324738e-02       0.000000000000e+00       2.619284381040e+03 
       6.442105506564e-01       2.600539331305e+03       1.849310658190e+03       4.041823314015e-02       4.034972534590e-02       0.000000000000e+00       2.411650651520e+03 
       6.826562586824e-01       2.372749278882e+03       1.687719344354e+03       3.284252871306e-02       3.278686048173e-02       0.000000000000e+00       2.200466340717e+03 
       7.292765218650e-01       2.136103893151e+03       1.519422687419e+03       2.590785559597e-02       2.586394161097e-02       0.000000000000e+00       1.981007629927e+03 
       7.887664149807e-01       1.884346080999e+03       1.340359325189e+03       1.953713750606e-02       1.950402199192e-02       0.000000000000e+00       1.747531165125e+03 
       8.704146926779e-01       1.607983767719e+03       1.143839802831e+03       1.369095756373e-02       1.366775129941e-02       0.000000000000e+00       1.491243576836e+03 
       9.937041269107e-01       1.296829687556e+03       9.225477471272e+02       8.471912785878e-03       8.457552825554e-03       0.000000000000e+00       1.202686571081e+03 
       1.193587427985e+00       9.600560035114e+02       6.830141922278e+02       4.347211446491e-03       4.339842883146e-03       0.000000000000e+00       8.903673985465e+02 
       1.491232588641e+00       6.633103844493e+02       4.719308869040e+02       1.924237861635e-03       1.920976259616e-03       0.000000000000e+00       6.151666562287e+02 
       1.876880518295e+00       4.505817159740e+02       3.205961037277e+02       8.251663612389e-04       8.237676980221e-04       0.000000000000e+00       4.178806320313e+02 
       2.362848480212e+00       3.046278078794e+02       2.167570021381e+02       3.520026878049e-04       3.514060424736e-04       0.000000000000e+00       2.825208014860e+02 
       2.974649989917e+00       2.051456206699e+02       1.459757117018e+02       1.495699451361e-04       1.493164252545e-04       0.000000000000e+00       1.902588457249e+02 
       3.744862463498e+00       1.376612421997e+02       9.795820362001e+01       6.332834932986e-05       6.322100935566e-05       0.000000000000e+00       1.276719671544e+02 
       4.714502518972e+00       9.207847156511e+01       6.552297395469e+01       2.672684372873e-05       2.668154314078e-05       0.000000000000e+00       8.539701912952e+01 
       5.935207025102e+00       6.140851973339e+01       4.369839815130e+01       1.124656117151e-05       1.122749934493e-05       0.000000000000e+00       5.695257960828e+01 
       7.471982948160e+00       4.084379093324e+01       2.906410022048e+01       4.719724787023e-06       4.711725649306e-06       0.000000000000e+00       3.788001183380e+01 
       9.406669209931e+00       2.709890568443e+01       1.928261997558e+01       1.975781965415e-06       1.972433572085e-06       0.000000000000e+00       2.513239496618e+01 
       1.184229490872e+01       1.793885659341e+01       1.276369889474e+01       8.252288036592e-07       8.238304221000e-07       0.000000000000e+00       1.663692561550e+01 
       1.490856599455e+01       1.185032729966e+01       8.430534296680e+00       3.439503756673e-07       3.433676369220e-07       0.000000000000e+00       1.099010857594e+01 
       1.876877258395e+01       7.813175419778e+00       5.557210857054e+00       1.430766254395e-07       1.428342823221e-07       0.000000000000e+00       7.245828270132e+00 
       2.362848475413e+01       5.142231692101e+00       3.656159408135e+00       5.940903740974e-08       5.930845305520e-08       0.000000000000e+00       4.768632603295e+00 
       2.974649989916e+01       3.378721028811e+00       2.400903630143e+00       2.462566266876e-08       2.458399741712e-08       0.000000000000e+00       3.133034521129e+00 
       3.744862463499e+01       2.216581399587e+00       1.573636175978e+00       1.019094522589e-08       1.017372107145e-08       0.000000000000e+00       2.055178538259e+00 
       4.714502518972e+01       1.452075407648e+00       1.029365599964e+00       4.210684712976e-09       4.203580061926e-09       0.000000000000e+00       1.346109131551e+00 
       5.935207025102e+01       9.499634969258e-01       6.718458611139e-01       1.737019424017e-09       1.734096402998e-09       0.000000000000e+00       8.803986023513e-01 
       7.471982948160e+01       6.206757085953e-01       4.373324264876e-01       7.153873377943e-10       7.141885983392e-10       0.000000000000e+00       5.749754110722e-01 
       9.406669209931e+01       4.050357208072e-01       2.837116105129e-01       2.941060274077e-10       2.936165153968e-10       0.000000000000e+00       3.749566347122e-01 
       1.184229490872e+02       2.640036991675e-01       1.832019903740e-01       1.206621884087e-10       1.204634913876e-10       0.000000000000e+00       2.441351631233e-01 
